"DisplayName","Status"
"Agent Activation Runtime_13e148","Stopped"
"ADPSvc","Stopped"
"Service de la passerelle de la couche Application","Stopped"
"Identit? de l?application","Stopped"
"Pr?paration des applications","Stopped"
"Microsoft App-V Client","Stopped"
"Service proxy de p?riph?rique audio virtuel Windows","Stopped"
"AssignedAccessManager Service","Stopped"
"Heure cellulaire","Stopped"
"Programme d?installation ActiveX (AxInstSV)","Stopped"
"Service utilisateur de diffusion et GameDVR_13e148","Stopped"
"Service de transfert intelligent en arri?re-plan","Stopped"
"CaptureService_13e148","Stopped"
"Service de licence client (ClipSVC)","Stopped"
"Service de restauration et de sauvegarde dans le cloud_13e148","Stopped"
"Microsoft Cloud Identity Service","Stopped"
"Application syst?me COM+","Stopped"
"Service utilisateur ConsentUX_13e148","Stopped"
"CredentialEnrollmentManagerUserSvc_13e148","Stopped"
"Offline Files","Stopped"
"Service de configuration (DC) d?clar?","Stopped"
"Optimiser les lecteurs","Stopped"
"DeviceAssociationBroker_13e148","Stopped"
"Service d?installation de p?riph?rique","Stopped"
"DevicePicker_13e148","Stopped"
"Diagnostic Execution Service","Stopped"
"DialogBlockingService","Stopped"
"Device Management Enrollment Service","Stopped"
"Service de routage de messages Push du protocole WAP (Wireless Application Protocol) de gestion des appareils","Stopped"
"Configuration automatique de r?seau c?bl?","Stopped"
"Gestionnaire d?installation de p?riph?rique","Stopped"
"Microsoft Edge Update Service (edgeupdate)","Stopped"
"Microsoft Edge Update Service (edgeupdatem)","Stopped"
"Syst?me de fichiers EFS (Encrypting File System)","Stopped"
"Mode incorpor?","Stopped"
"Service de gestion des applications d'entreprise","Stopped"
"H?te du fournisseur de d?couverte de fonctions","Stopped"
"Publication des ressources de d?couverte de fonctions","Stopped"
"File History Service","Stopped"
"Serveur de trame de la Cam?ra Windows","Stopped"
"Moniteur de serveur de trame Cam?ra Windows","Stopped"
"GameInput Service","Stopped"
"Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped"
"Service interne de mise ? jour de Google (GoogleUpdaterInternalService144.0.7547.0)","Stopped"
"Service de mise ? jour Google (GoogleUpdaterService144.0.7547.0)","Stopped"
"GraphicsPerfSvc","Stopped"
"Hotpatch Monitoring Service","Stopped"
"Service de point d'acc?s sans fil mobile Windows","Stopped"
"Modules de g?n?ration de cl?s IKE et AuthIP","Stopped"
"Service de configuration de conversion IP","Stopped"
"Service KtmRm pour Distributed Transaction Coordinator","Stopped"
"Mappage de d?couverte de topologie de la couche de liaison","Stopped"
"Centre local de distribution de cl?s Kerberos","Stopped"
"Lenovo Platform Service","Stopped"
"Service d'exp?rience linguistique","Stopped"
"Gestionnaire de cartes t?l?charg?","Stopped"
"Service de gestion de la connectivit? mobile","Stopped"
"McpManagementService","Stopped"
"Microsoft Defender Service de base","Stopped"
"MessagingService_13e148","Stopped"
"Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped"
"Service MIDI de Windows","Stopped"
"Coordinateur de transactions distribu?es","Stopped"
"Service Initiateur iSCSI de Microsoft","Stopped"
"Windows Installer","Stopped"
"Filtre clavier Microsoft","Stopped"
"Authentification naturelle","Stopped"
"Assistant Connectivit? r?seau","Stopped"
"Configuration automatique des p?riph?riques connect?s au r?seau","Stopped"
"Service de partage de ports Net.Tcp","Stopped"
"Microsoft Passport Container","Stopped"
"Microsoft Passport","Stopped"
"Connaissance des emplacements r?seau","Stopped"
"OneDrive Updater Service","Stopped"
"P9RdrService_13e148","Stopped"
"BranchCache","Stopped"
"PenService_13e148","Stopped"
"Service de simulation de perception Windows","Stopped"
"H?te de DLL de compteur de performance","Stopped"
"Coordonn?es_13e148","Stopped"
"Journaux & alertes de performance","Stopped"
"Service de configuration du p?riph?rique d?impression","Stopped"
"Extensions et notifications d?imprimante","Stopped"
"PrintScanBrokerService","Stopped"
"PrintWorkflow_13e148","Stopped"
"Service PushToInstall de Windows","Stopped"
"Gestionnaire des connexions automatiques d?acc?s ? distance","Stopped"
"ReFS Dedup Service","Stopped"
"Routage et acc?s distant","Stopped"
"Registre ? distance","Stopped"
"Service de d?mo du magasin","Stopped"
"Localisateur d?appels de proc?dure distante (RPC)","Stopped"
"Carte ? puce","Stopped"
"Smart Card Device Enumeration Service","Stopped"
"Strat?gie de retrait de la carte ? puce","Stopped"
"Windows Backup","Stopped"
"Ouverture de session secondaire","Stopped"
"Payments and NFC/SE Manager","Stopped"
"Sense","Stopped"
"Service Donn?es de capteur","Stopped"
"Service de surveillance des capteurs","Stopped"
"Partage de connexion Internet (ICS)","Stopped"
"Shared PC Account Manager","Stopped"
"Microsoft Storage Spaces SMP","Stopped"
"Service Routeur SMS Microsoft Windows.","Stopped"
"Interruption SNMP","Stopped"
"OpenSSH Authentication Agent","Stopped"
"System Update","Stopped"
"V?rificateur de points","Stopped"
"Fournisseur de clich? instantan? de logiciel Microsoft","Stopped"
"T?l?phonie","Stopped"
"Gestion des niveaux de stockage","Stopped"
"Service de r?solution des probl?mes recommand?","Stopped"
"Windows Modules Installer","Stopped"
"Programme de mise ? jour automatique du fuseau horaire","Stopped"
"Service User Experience Virtualization","Stopped"
"Stockage des donn?es de l?utilisateur_13e148","Stopped"
"H?te de p?riph?rique UPnP","Stopped"
"Acc?s aux donn?es de l?utilisateur_13e148","Stopped"
"Service Orchestrator pour les mises ? jour","Stopped"
"VirtualBox system service","Stopped"
"Disque virtuel","Stopped"
"Interface de services d?invit? Hyper-V","Stopped"
"Service Pulsation Microsoft Hyper-V","Stopped"
"Service ?change de donn?es Microsoft Hyper-V","Stopped"
"Service de virtualisation Bureau ? distance Hyper-V","Stopped"
"Service Arr?t de l?invit? Microsoft Hyper-V","Stopped"
"Service Synchronisation date/heure Microsoft Hyper-V","Stopped"
"Service Hyper-V PowerShell Direct","Stopped"
"Requ?te du service VSS Hyper-V","Stopped"
"Clich? instantan? des volumes","Stopped"
"WaaSMedicSvc","Stopped"
"WalletService","Stopped"
"Warp JIT Service","Stopped"
"Service de moteur de sauvegarde en mode bloc","Stopped"
"Service de biom?trie Windows","Stopped"
"Windows Connect Now?? registre de configuration","Stopped"
"Service h?te WDIServiceHost","Stopped"
"Service Inspection du r?seau de l?antivirus Microsoft Defender","Stopped"
"WebClient","Stopped"
"Collecteur d??v?nements de Windows","Stopped"
"Service h?te du fournisseur de chiffrement Windows","Stopped"
"Prise en charge du Panneau de configuration Rapports de probl?mes","Stopped"
"Service de rapport d?erreurs Windows","Stopped"
"Service Wi-Fi Direct Service de gestionnaire de connexions","Stopped"
"Still Image Acquisition Events","Stopped"
"Service antivirus Microsoft Defender","Stopped"
"Service de Windows Insider","Stopped"
"Microsoft Account Sign-in Assistant","Stopped"
"Service de l?Assistant de profil local","Stopped"
"Service de gestion de Windows","Stopped"
"Carte de performance WMI","Stopped"
"Service de partage r?seau du Lecteur multim?dia Windows","Stopped"
"Work Folders","Stopped"
"Param?tres de contr?le parental","Stopped"
"Service ?num?rateur d?appareil mobile","Stopped"
"Informations sur l?utilisation et la qualit? de Microsoft","Stopped"
"Service de configuration automatique WWAN","Stopped"
"Gestionnaire d'authentification Xbox Live","Stopped"
"Jeu sauvegard? sur Xbox Live","Stopped"
"Xbox Accessory Management Service","Stopped"
"Service de mise en r?seau Xbox Live","Stopped"
